frame;id;AccelerationEgo;VelocityEgo;XPosition;YPosition;YawAngle
1570;0;-1.347705; 8.197027; -26.939870; -9.220602; -0.010141
1570;1; -0.982967; 19.233948; 71.517575; 1.828787; 3.140946
1580;0;1.468689; 8.183551; -26.857903; -9.221329; -0.010013
1580;1; -1.566253; 19.224117; 71.325236; 1.828687; 3.140946
1590;0;2.680526; 8.198240; -26.776070; -9.222043; -0.009878
1590;1; -1.440490; 19.208452; 71.132994; 1.828603; 3.140946
1600;0;-1.184455; 8.225046; -26.694091; -9.222749; -0.009741
1600;1; 3.544089; 19.194046; 70.940910; 1.828539; 3.140933
1610;0;-2.227402; 8.213203; -26.611844; -9.223450; -0.009600
1610;1; -0.895546; 19.229485; 70.748969; 1.828492; 3.140908
1620;0;-1.856272; 8.190930; -26.529714; -9.224138; -0.009454
1620;1; -1.476841; 19.220529; 70.556675; 1.828456; 3.140908
1630;0;3.106728; 8.172369; -26.447808; -9.224811; -0.009301
1630;1; 3.548760; 19.205759; 70.364469; 1.828436; 3.140908
1640;0;-0.178655; 8.203437; -26.366087; -9.225469; -0.009145
1640;1; -1.029948; 19.241246; 70.172412; 1.828433; 3.140896
1650;0;-1.375129; 8.201652; -26.284055; -9.226125; -0.008987
1650;1; -1.612890; 19.230945; 69.979999; 1.828440; 3.140896
1660;0;-1.368612; 8.187901; -26.202041; -9.226775; -0.008828
1660;1; -1.480873; 19.214816; 69.787690; 1.828462; 3.140896
1670;0;3.044634; 8.174216; -26.120165; -9.227414; -0.008666
1670;1; 3.549795; 19.200006; 69.595542; 1.828499; 3.140883
1680;0;-0.176783; 8.204663; -26.038425; -9.228043; -0.008504
1680;1; -0.924483; 19.235504; 69.403542; 1.828552; 3.140858
1690;0;-1.350286; 8.202895; -25.956381; -9.228670; -0.008343
1690;1; -1.507519; 19.226259; 69.211187; 1.828615; 3.140858
1700;0;-1.344995; 8.189393; -25.874354; -9.229293; -0.008181
1700;1; -1.391345; 19.211183; 69.018924; 1.828690; 3.140858
1710;0;3.041435; 8.175944; -25.792463; -9.229907; -0.008021
1710;1; 3.544536; 19.197269; 68.826812; 1.828779; 3.140846
1720;0;-0.183228; 8.206358; -25.710705; -9.230514; -0.007864
1720;1; -0.870427; 19.232714; 68.634840; 1.828882; 3.140822
1730;0;-1.376418; 8.204527; -25.628644; -9.231122; -0.007708
1730;1; -1.453178; 19.224010; 68.442512; 1.828993; 3.140822
1740;0;-1.363965; 8.190766; -25.546601; -9.231705; -0.007538
1740;1; -1.344659; 19.209478; 68.250272; 1.829120; 3.140822
1750;0;3.042704; 8.177129; -25.464695; -9.232256; -0.007351
1750;1; 3.536761; 19.196031; 68.058178; 1.829265; 3.140805
1760;0;-0.154630; 8.207557; -25.382925; -9.232777; -0.007149
1760;1; -0.832044; 19.231399; 67.866217; 1.829426; 3.140773
1770;0;-1.333888; 8.206013; -25.300851; -9.233287; -0.006943
1770;1; -1.412617; 19.223079; 67.673904; 1.829596; 3.140770
1780;0;-1.336241; 8.192676; -25.218793; -9.233781; -0.006729
1780;1; -1.310644; 19.208953; 67.481673; 1.829782; 3.140754
1790;0;3.040071; 8.179315; -25.136867; -9.234254; -0.006509
1790;1; 2.935416; 19.195847; 67.289583; 1.829982; 3.140722
1800;0;-0.167921; 8.209717; -25.055075; -9.234708; -0.006284
1800;1; -0.809712; 19.225201; 67.097625; 1.830196; 3.140676
1810;0;-1.381141; 8.208038; -24.972980; -9.235156; -0.006059
1810;1; -0.880162; 19.217104; 66.905373; 1.830419; 3.140623
1820;0;-1.377989; 8.194231; -24.890900; -9.235595; -0.005833
1820;1; -1.192675; 19.208303; 66.713202; 1.830654; 3.140557
1830;0;3.043278; 8.180455; -24.808959; -9.235995; -0.005589
1830;1; 2.918715; 19.196377; 66.521119; 1.830901; 3.140481
1840;0;-0.151764; 8.210890; -24.727155; -9.236357; -0.005326
1840;1; -0.799546; 19.225564; 66.329156; 1.831160; 3.140392
1850;0;-1.345308; 8.209376; -24.645047; -9.236702; -0.005056
1850;1; -1.282243; 19.217569; 66.136900; 1.831430; 3.140295
1860;0;-1.349984; 8.195927; -24.562954; -9.237023; -0.004774
1860;1; -1.184623; 19.204747; 65.944725; 1.831716; 3.140182
1870;0;3.034723; 8.182431; -24.480995; -9.237312; -0.004480
1870;1; 2.917800; 19.192901; 65.752678; 1.832018; 3.140055
1880;0;-0.176304; 8.212784; -24.399171; -9.237569; -0.004175
1880;1; -0.722207; 19.222079; 65.560749; 1.832335; 3.139914
1890;0;-1.409448; 8.211029; -24.317044; -9.237792; -0.003849
1890;1; -1.205661; 19.214857; 65.368528; 1.832663; 3.139766
1900;0;-1.392162; 8.196946; -24.234934; -9.237968; -0.003494
1900;1; -1.118986; 19.202801; 65.176380; 1.833005; 3.139606
1910;0;3.042802; 8.183035; -24.152964; -9.238090; -0.003111
1910;1; 2.908779; 19.191611; 64.984352; 1.833362; 3.139434
1920;0;-0.119329; 8.213470; -24.071134; -9.238162; -0.002706
1920;1; -0.678798; 19.220698; 64.792437; 1.833734; 3.139252
1930;0;-1.426147; 8.212284; -23.988999; -9.238209; -0.002289
1930;1; -1.160753; 19.213910; 64.600230; 1.834115; 3.139065
1940;0;-1.427595; 8.198040; -23.906876; -9.238224; -0.001858
1940;1; -1.081026; 19.202302; 64.408091; 1.834510; 3.138868
1950;0;3.043440; 8.183784; -23.824896; -9.238168; -0.001389
1950;1; 2.903271; 19.191491; 64.216069; 1.834919; 3.138663
1960;0;-0.078288; 8.214230; -23.743058; -9.238045; -0.000887
1960;1; -0.659001; 19.220523; 64.024154; 1.835342; 3.138451
1970;0;-1.259844; 8.213460; -23.660916; -9.237887; -0.000368
1970;1; -1.140717; 19.213931; 63.831950; 1.835778; 3.138232
1980;0;-1.313048; 8.200865; -23.578782; -9.237685; 0.000171
